Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
Les Harkis;10;2022;12 octobre 2022;82;Drame;Philippe Faucon;Théo Cholbi;Mohamed El Amine Mouffok;3,4;Philippe Faucon;France;2;Français;3;1;
Les histoires d’Anouk;5;2023;9 mai 2023;90;Comédie;Jacques Kluger;Bérengère Krief;Noémie Chicheportiche;3,1;Jacques Kluger;France;;Français;;1;0
Les Huit Montagnes;12;2022;21 décembre 2022;147;Drame;Charlotte Vandermeersch;Luca Marinelli;Alessandro Borghi;4,1;Charlotte Vandermeersch;Italie;16;Italien;0;2;0
Les Liaisons dangereuses;7;2022;8 juillet 2022;109;Comédie;Rachel Suissa;Paola Locatelli;Simon Rérolle;1,2;Rachel Suissa;France;0;Français;0;;
Les Lignes courbes de Dieu;12;2022;9 décembre 2022;155;Drame;Oriol Paulo;Bárbara Lennie;Eduard Fernández;3,7;Guillem Clua;Espagne;0;Espagnol;2;1;1
Les Miens;11;2022;23 novembre 2022;85;Drame;Roschdy Zem;Sami Bouajila;Roschdy Zem;3,6;Roschdy Zem;France;4;Français;9;5;9
Les Monstres du foot;11;2022;9 novembre 2022;73;Animation;Mitch Schauer;Zlatan Ibrahimovic;Megan Rapinoe;1,4;Deeki Deke;U.S.A.;0;Anglais;0;0;
Les Murs vagabonds;9;2022;16 septembre 2022;120;Aventure;Hiroyasu Ishida;Daiki Yamashita;Ka Hazawa;3,6;Hiroyasu Ishida;U.S.A.;0;Japois;;0;0
Les Mystères de la duchesse;9;2022;17 septembre 2022;90;Policier;Emmanuelle Dubergey;Lorie Pester;Jérémy Banster;3,4;Philippe Le Dem;France;0;Français;0;0;1
Les geuses;11;2022;23 novembre 2022;134;Drame;Sally El Hosaini;thalie Issa;Mal Issa;4;Jack Thorne;Grande-Bretagne;1;Anglais;1;;1
Les Nuits de Mashhad;7;2022;13 juillet 2022;119;Policier;Ali Abbasi;Mehdi Bajestani;Zar Amir Ebrahimi;4;Ali Abbasi;France;17;Farsi;;;0
Les Pires;12;2022;7 décembre 2022;99;Comédie dramatique;Lise Akoka;Mallory Wanecque;Timéo Mahaut;3,8;Lise Akoka;France;216;Français;;;
Les Rascals;1;2023;11 janvier 2023;105;Drame;Jimmy Laporal-Tresor;Jothan Feltre;Angeli Woreth;3,3;Jimmy Laporal-Tresor;France;1;Français;2;;0
Les sept jours de Noël;12;2022;25 décembre 2022;90;Comédie;Jason Bourque;Rhiannon Fish;Clayton James;2,4;Katy Breier;Cada;0;Anglais;0;;0
Les Survivants;1;2023;4 janvier 2023;94;Thriller;Guillaume Renusson;Denis Ménochet;Zar Amir Ebrahimi;3,3;Guillaume Renusson;France;7;Français;;1;0
Les Vedettes;2;2022;9 février 2022;101;Comédie;Jothan Barré;Grégoire Ludig;David Marsais;3,4;Jothan Barré;France;0;Français;;0;0
Les Vieux fourneaux 2 : bons pour l’asile;8;2022;17 août 2022;97;Comédie;Christophe Duthuron;Pierre Richard;Eddy Mitchell;2,1;Wilfrid Lupano;France;0;Français;0;2;1
Les Volets verts;8;2022;24 août 2022;97;Drame;Jean Becker;Gérard Depardieu;Fanny Ardant;2,9;Jean-Loup Dabadie;France;0;Français;2;13;3
Libre Garance !;9;2022;21 septembre 2022;96;Drame;Lisa Diaz;Laetitia Dosch;Lolita Chammah;3,1;Lisa Diaz;France;0;Français;0;1;1
Liger;8;2022;25 août 2022;130;Action;Puri Jagandh;Vijay Devarakonda;Anya Panday;2,2;Puri Jagandh;Inde;0;Autre;0;;
Little Lies;9;2022;20 septembre 2022;92;Comédie;Sebastián Schindel;Léonor Varela;Lucas Akoskin;;;Argentine;0;Espagnol;0;0;0
Live is Life;7;2022;18 juillet 2022;110;Comédie;Dani de la Torre;Juan del Pozo;Raúl del Pozo;2,6;Albert Espinosa;Espagne;0;Espagnol;;0;0
Livré avant Noël;12;2022;6 décembre 2022;97;Comédie;Aleksandra Kulakowska;Monika Frajczyk;Piotr Pacek;2,4;Aleksandra Kulakowska;Pologne;0;Polois;;;
Locked-in Society;12;2022;7 décembre 2022;101;Comédie;Sönke Wortmann;Florian David Fitz;Anke Engelke;;Jan Weiler;Allemagne;0;Allemand;0;1;0
Loin du périph;5;2022;6 mai 2022;119;Action;Louis Leterrier;Omar Sy;Laurent Lafitte;1,7;Stéphane Kazandjian;France;0;Français;2;6;3
Lointaine Andromède;3;2023;15 mars 2023;62;Drame;Damien Faure;Louise Faure;Damien Faure;2,6;Damien Faure;France;0;Français;0;0;0
London hi Jaunga;7;2022;8 juillet 2022;118;Action;deem Baig;Humayun Saeed;Mehwish Hayat;3;Khalil-ur-Rehman Qamar;Pakistan;0;Urdu;;0;
Looop Lapeta : La boucle inferle;2;2022;4 février 2022;131;Action;;Tahir Raj Bhasin;Tapsee Pannu;3,1;;Inde;0;Hindi;;;0
Los reyes del mundo;3;2023;29 mars 2023;111;Aventure;Laura Mora;Carlos Andrés Castañeda;Brahian Estiven Acevedo;3,5;Laura Mora;Colombie;0;Espagnol;;;
Los Sonámbulos;9;2022;14 septembre 2022;107;Drame;Paula Hernández;Erica Rivas;Ornella D'Elia;2,4;Paula Hernández;Argentine;0;Espagnol;0;0;
Lost And Found In Paris;4;2020;1 avril 2020;;Biopic;Rupert Everett;Kit Clarke;John Malkovich;;Rupert Everett;Grande-Bretagne;0;Anglais;7;;1
Lost in the City;1;2023;23 janvier 2023;;Comédie dramatique;Lara Celenza;India Antony;Marc Adams;;Lara Celenza;Allemagne;0;Anglais;;;
Lou;9;2022;23 septembre 2022;107;Action;An Foerster;Allison Janney;Jurnee Smollett;2,9;Maggie Cohn;U.S.A.;0;Anglais;0;5;2
Louise et la Légende du Serpent à Plumes;2;2023;8 février 2023;44;Aventure;Hefang Wei;Rose De Gouvello Grach;Satya Dusaugey;2,9;Patricia Mortagne;France;0;Français;13;;0
Loup & Chien;4;2023;12 avril 2023;111;Drame;Claudia Varejão;A Cabral;Ruben Pimenta;3,5;Claudia Varejão;Portugal;0;Portugais;0;;
Love & Gelato;6;2022;22 juin 2022;110;Comédie;Brandon Camp;Susan Skaggs;Tobia De Angelis;2,1;Brandon Camp;Italie;0;Anglais, Italien;0;0;
Love Destiny The Movie;12;2022;1 décembre 2022;166;Comédie;Adisorn Tresirikasem;Tawat Wattaputi;Ranee Campen;3,1;;Thaïlande;0;Thaï;;;
Love in the Villa;9;2022;1 septembre 2022;114;Drame;Mark Steven Johnson;Kat Graham;Tom Hopper;2;Mark Steven Johnson;U.S.A.;0;Anglais;2;0;0
Love like the falling petals;3;2022;24 mars 2022;128;Drame;Yoshihiro Fukagawa;Kento kajima;Honoka Matsumoto;3,6;Tomoko Yoshida;Japon;0;Japois;0;;
Love Tactics;2;2022;11 février 2022;97;Romance;;Demet Özdemir;Şükrü Özyıldız;2,8;;Turquie;0;Turc;;;
Love Today;11;2022;9 novembre 2022;154;Comédie;Pradeep Rangathan;Pradeep Rangathan;Radhika Sarathkumar;2,9;Pradeep Rangathan;Inde;0;Tamoul;;;0
Loving Adults;8;2022;26 août 2022;104;Thriller;Barbara Topsoe-Rothenborg;Dar Salim;Sonja Richter;3,4;Jacob Weinreich;Danemark;0;Danois;0;0;0
Luck;8;2022;5 août 2022;97;Aventure;Peggy Holmes;Louane Emera;Eva Noblezada;3,2;Kiel Murray;U.S.A.;0;Anglais;0;2;
Lucky Man;10;2022;6 octobre 2022;;Fantastique;;Puneeth Rajkumar;Darling Krish;;;Inde;0;Autre;;;
Lullaby;2;2023;20 février 2023;89;Epouvante-horreur;John R. Leonetti;Oo Chaplin;Ramon Rodríguez;2,5;Alex Greenfield;U.S.A.;0;Anglais;0;0;0
Lunettes noires;4;2023;24 avril 2023;87;Epouvante-horreur;Dario Argento;Ilenia Pastorelli;Asia Argento;2;Dario Argento;Italie;1;Italien;4;1;7
M3GAN;12;2022;28 décembre 2022;102;Epouvante-horreur;Gerard Johnstone;Allison Williams;Violet McGraw;2,8;Akela Cooper;U.S.A.;0;Anglais;2;0;0
Maa Da Ladla;9;2022;16 septembre 2022;130;Drame;Uday Pratap Singh;Tarsem Jassar;Neeru Bajwa;;;Inde;0;Autre;;;0
Ma sœur a disparu;10;2022;6 octobre 2022;89;Policier;Markus Imboden;Heino Ferch;Rold Kukulies;3;Katja Röder;Allemagne;0;Allemand;0;1;0
Mack & Rita;11;2022;23 novembre 2022;95;Comédie;Katie Aselton;Elizabeth Lail;Diane Keaton;1,8;Madeline Walter;U.S.A.;1;Anglais;0;0;4
Mad Heidi;2;2023;8 février 2023;93;Action;Johannes Hartmann;Alice Lucy;Max Rudlinger;2,5;Sandro Klopfstein;Suisse;1;Anglais, Suisse allemand;;;0
Madea : Retour en fanfare;2;2022;25 février 2022;105;Comédie;Tyler Perry;Tyler Perry;Brendan O'Carroll;2,7;Tyler Perry;U.S.A.;0;Anglais;3;3;1
Maestro(s);12;2022;7 décembre 2022;87;Drame;Bruno Chiche;Yvan Attal;Pierre Arditi;3,1;Bruno Chiche;France;1;Français;7;3;3
Magdala;7;2022;20 juillet 2022;78;Drame;Damien Manivel;Elsa Wolliaston;Aimie Lombard;3,2;Damien Manivel;France;1;Araméen;5;0;
Maha;7;2022;22 juillet 2022;171;Action;U.R. Jameel;Silambarasan Rajendar;Hansika Motwani;3;U.R. Jameel;Inde;0;Tamoul;;0;0
Mahaan;2;2022;9 février 2022;163;Action;Karthik Subbaraj;Vikram;Simran;2,8;;Inde;0;Tamoul;0;0;
Maigret;2;2022;23 février 2022;88;Policier;Patrice Leconte;Gérard Depardieu;Jade Labeste;2,8;Jérôme Tonnerre;France;0;Français;6;13;
Maison de Retraite;2;2022;16 février 2022;97;Comédie;Thomas Gilou;Kev Adams;Gérard Depardieu;3,3;Catherine Diament;France;3;Français;1;0;13
Maître Conti - Une femme, deux visages;4;2023;7 avril 2023;90;Policier;Claudia Garde;Desiree Nosbusch;Malaya Stern Takeda;2,9;Lucas Thiem;Allemagne;0;Allemand;;0;
Maja Ma;10;2022;6 octobre 2022;;Comédie;And Tiwari;Madhuri Dixit;Gajraj Rao;3,2;Sumit Batheja;Inde;0;Hindi;0;0;
Major;6;2022;3 juin 2022;140;Action;Sashi Kiran Tikka;Sobhita Dhulipala;Prakash Raj;2,8;;Inde;0;Hindi;;0;0
Malayankunju;8;2022;10 août 2022;103;Thriller;;Fahadh Faasil;Indrans;;;Inde;0;-;;;0
Malzidos;7;2022;11 juillet 2022;101;Action;Javier Ruiz Caldera;Miki Esparbé;Aura Garrido;2,5;Jaime Marques Olarreaga;Espagne;0;Espagnol;0;0;2
Maman, ne me laisse pas m’endormir;4;2023;26 avril 2023;90;Drame;Sylvie Testud;Gwendoline Hamon;Nemo Schiffman;3,4;thalie Hugon;France;0;Français;6;0;
Man of God;4;2022;16 avril 2022;140;Drame;;Osas Ighodaro;Dorcas Shola Fapson;1,8;;Nigéria;0;Anglais;;0;
Man of the Match;5;2022;4 mai 2022;114;Comédie;D. Satya Prakash;Vasuki Vaibhav;Dharman Kadooru;;;Inde;0;-;;;
Maña es hoy;12;2022;2 décembre 2022;;Comédie;cho G. Velilla;Carmen Machi;Javier Gutiérrez;2,9;cho G. Velilla;Espagne;0;Espagnol;0;1;2
Maneater;3;2023;8 mars 2023;86;Action;Justin Lee;Nicky Whelan;Trace Adkins;1,4;Justin Lee;U.S.A.;0;Anglais;0;0;0
Marcel !;7;2022;27 juillet 2022;93;Drame;Jasmine Trinca;Alba Rohrwacher;Maayane Conti;2,5;Jasmine Trinca;Italie;3;Italien;2;2;
Maria rêve;9;2022;28 septembre 2022;92;Comédie;Lauriane Escaffre;Karin Viard;Grégory Gadebois;3,4;Lauriane Escaffre;France;11;Français;1;11;1
Mariage à la poloise;4;2023;26 avril 2023;107;Comédie;Tomasz Konecki;Mateusz Kosciukiewicz;Rafal Zawierucha;2,3;Andrzej Golda;Pologne;0;Polois;;0;0
Marlowe;2;2023;15 février 2023;110;Policier;Neil Jordan;Liam Neeson;Diane Kruger;2,2;William Mohan;Irlande;0;Anglais;4;1;1
Marmaduke;2;2021;4 février 2021;88;Aventure;Mark A.Z. Dippé;Pete Davidson;Jason Anthony;1,8;Byron Kavagh;U.S.A.;1;Anglais;0;0;0
Marry Me;2;2022;9 février 2022;112;Comédie;Kat Coiro;Jennifer Lopez;Owen Wilson;2,8;John Rogers (II);U.S.A.;0;Anglais;1;10;1
Massacre à la tronçonneuse;2;2022;18 février 2022;83;Epouvante-horreur;David Blue Garcia;Sarah Yarkin;Elsie Fisher;2,1;Chris Thomas Devlin;U.S.A.;0;Anglais;;0;1
Master;3;2022;18 mars 2022;91;Drame;Mariama Diallo;Regi Hall;Zoe Renee;1,9;Mariama Diallo;U.S.A.;0;Anglais;0;0;
Mat Kilau;11;2022;7 novembre 2022;117;Action;Syamsul Yusof;Adi Putra;Beto Kusyairy;2,4;;Malaisie;0;Malais, Anglais, Autre;;;
Matilda, la comédie musicale;12;2022;25 décembre 2022;117;Famille;Matthew Warchus;Alisha Weir;Emma Thompson;3,4;Dennis Kelly;U.S.A.;2;Anglais;;;6
Matriarch;11;2022;9 novembre 2022;85;Epouvante-horreur;Ben Steiner;Jemima Rooper;Kate Dickie;1,4;Ben Steiner;U.S.A.;0;Anglais;;0;0
Maurice le chat fabuleux;2;2023;1 février 2023;93;Aventure;Toby Genkel;Hugh Laurie;Emilia Clarke;2,8;Terry Rossio;Grande-Bretagne;1;Anglais;0;6;4
Max et Emmy : Mission Pâques;4;2022;13 avril 2022;76;Animation;Ute von Münchow-Pohl;Noah Levi;Elise Eikermann;3,4;Katja Grübel;Allemagne;0;Allemand;0;;
Me Time : Enfin Seul ?;8;2022;26 août 2022;101;Comédie;John Hamburg;Kevin Hart;Mark Wahlberg;1,8;John Hamburg;U.S.A.;0;Anglais;2;0;11
Measure Of Revenge;8;2022;29 août 2022;92;Thriller;Peyfa;Bella Thorne;Jake Weary;2,6;Kenny Walakandou;U.S.A.;0;Anglais;;0;0
Medieval;11;2022;8 novembre 2022;126;Action;Petr Jakl;Ben Foster;Michael Caine;2,7;Petr Jakl;République tchèque;0;Tchèque, Anglais;0;1;7
Méduse;10;2022;26 octobre 2022;86;Drame;Sophie Levy (II);Amaria Vartolomei;Roxane Mesquida;2,9;Sophie Levy (II);France;0;Français;;1;0
Memory;7;2022;29 juillet 2022;114;Action;Martin Campbell;Liam Neeson;Guy Pearce;2,4;Dario Scardapane;U.S.A.;0;Anglais;1;1;1
Men;6;2022;8 juin 2022;100;Drame;Alex Garland;Jessie Buckley;Rory Kinnear;2,4;Alex Garland;Grande-Bretagne;1;Anglais;2;2;1
Mendarat Darurat;2;2023;1 février 2023;113;Comédie;Pandji Pragiwaksono;Reza Rahadian;Lu Maya;;;Indonésie;0;Indonésien;;0;0
Mense van die Wind;3;2023;17 mars 2023;100;Drame;David Schröder;Armand Aucamp;Juan de Wet;;;Afrique du Sud;0;Afrikaans;;0;
Menteur;7;2022;13 juillet 2022;93;Comédie;Olivier Baroux;Tarek Boudali;Artus;2;Olivier Baroux;France;0;Afrikaans;2;0;0
Mes rendez-vous avec Leo;11;2022;30 novembre 2022;97;Comédie;Sophie Hyde;Emma Thompson;Daryl McCormack;3,8;Katy Brand;Grande-Bretagne;6;Anglais;0;6;
Meet Cute;11;2022;25 novembre 2022;89;Comédie;Alex Lehmann;Kaley Cuoco;Pete Davidson;2;Noga Pnueli;U.S.A.;0;Anglais;0;2;0
Metal Lords;4;2022;8 avril 2022;97;Comédie;Peter Sollett;Jaeden Martell;Adrian Greensmith;2,7;D.B. Weiss;U.S.A.;0;Anglais;2;0;
Methagu 2;8;2022;19 août 2022;109;Drame;T. Kittu;Kutti Mani;Eshwar Basha;3,3;;Inde;0;Tamoul;;;
Meurtres à ncy;10;2022;15 octobre 2022;90;Policier;Sylvie Ayme;Cristia Réali;Fabrice Deville;2,7;Killian Arthur;France;0;Français;0;0;0
Meurtres à Pont-Aven;3;2023;18 mars 2023;90;Policier;Stéphane Kappes;Alexandre Brasseur;Astrid Roos;2,7;Séverine Jacquet;France;0;Français;1;0;0
Meurtres en Champagne;2;2023;4 février 2023;90;Policier;Dominique Ladoge;Samira Lachhab;Stéphane Blancafort;3;Olivier Berclaz;France;0;Français;2;0;0
Meurtres en eaux troubles : La vengeance aux deux visages;1;2023;29 janvier 2023;93;Policier;Christian Theede;Nora von Waldstätten;Matthias Koeberlin;3,2;Jeanette Pfitzer;Allemagne;0;Allemand;0;0;0
Meurtres en eaux troubles : Parmi les loups;2;2023;5 février 2023;90;Policier;Christian Theede;Nora von Waldstätten;Matthias Koeberlin;3,3;Frank Koopmann;Allemagne;0;Allemand;0;0;0
Meurtres sans ordonnce;10;2022;26 octobre 2022;121;Policier;Tobias Lindholm;Jessica Chastain;Eddie Redmayne;3,7;Krysty Wilson-Cairns;U.S.A.;2;Anglais;4;6;5
Mili;1;2023;15 janvier 2023;127;Thriller;Mathukutty Xavier;Janhvi Kapoor;Manoj Pahwa;;;Inde;0;Hindi;;;0
Mindcage;5;2023;17 mai 2023;96;Policier;Mauro Borrelli;Martin Lawrence;Melissa Roxburgh;2,2;Reggie Keyohara;U.S.A.;0;Anglais;0;1;0
Miroir, miroir;9;2022;16 septembre 2022;79;Comédie;Marc Crehuet;Male Alterio;Santi Millán;2,4;Marc Crehuet;Espagne;0;Espagnol;;0;0
Mishan Impossible;11;2022;14 novembre 2022;134;Action;;Tapsee Pannu;;;;Inde;0;Autre;;0;0
Mission Spitfire;7;2022;27 juillet 2022;75;Action;Callum Burn;Archie Blankley;Callum Burn;1,5;Callum Burn;Grande-Bretagne;0;Anglais;;;
Mister Mummy;1;2023;17 janvier 2023;97;Comédie;Shaad Ali;Riteish Deshmukh;Genelia D'Souza;;;Inde;0;Hindi;1;0;0
Mobile Suit Gundam - Cucuruz Doan's Island;1;2023;6 janvier 2023;109;Animation;Yoshikazu Yasuhiko;Torû Furuya;Ken rita;3;Toshizo Nemoto;Japon;0;Japois;0;0;0
Moi, apprivoisée ?;4;2022;13 avril 2022;112;Comédie;An Wieczur-Bluszcz;Magdale Lamparska;Mikolaj Roznerski;2,1;An Wieczur-Bluszcz;Pologne;0;Polois;0;0;0
Molly Johnson;2;2023;1 février 2023;108;Drame;Leah Purcell;Leah Purcell;Rob Collins;3,2;Leah Purcell;Australie;0;Anglais;0;0;0
Mon héroïne;12;2022;14 décembre 2022;108;Comédie;Noémie Lefort;Chloé Jouannet;Pascale Arbillot;3,1;Noémie Lefort;France;0;Français, Anglais;;1;2
Moonfall;2;2022;9 février 2022;120;Action;Roland Emmerich;Halle Berry;Patrick Wilson;2,1;Roland Emmerich;U.S.A.;0;Anglais;7;4;2
Monica, O My Darling;11;2022;11 novembre 2022;129;Bollywood;Vasan Bala;Rajkummar Rao;Huma Qureshi;3;;Inde;0;Hindi;7;0;0
Moonshot;5;2022;12 mai 2022;105;Comédie;Christopher Winterbauer;Cole Sprouse;La Condor;2,4;Max Taxe;U.S.A.;0;Anglais;;0;0
Monster High;2;2023;11 février 2023;80;Aventure;Todd Holland;Miia Harris;Ceci Balagot;2,2;Jenny Jaffe;U.S.A.;0;Anglais;0;;0
Monstrous;4;2023;7 avril 2023;88;Epouvante-horreur;Chris Sivertson;Christi Ricci;Santino Barrd;1,9;Carol Chrest;U.S.A.;0;Anglais;1;4;
Morbius;3;2022;30 mars 2022;105;Action;Daniel Espinosa;Jared Leto;Matt Smith (XI);2,3;Burk Sharpless;U.S.A.;23;Anglais;2;4;1
Mort sur le Nil;2;2022;9 février 2022;127;Policier;Kenneth Bragh;Kenneth Bragh;Gal Gadot;3,1;Michael Green;U.S.A.;0;Anglais;3;3;0
Mourir à Ibiza (Un film en trois étés);12;2022;7 décembre 2022;107;Comédie dramatique;Anton Balekdjian;Lucile Balézeaux;César Simonot;3,4;;France;0;Français, Espagnol;1;;
Mr et Mme Toutlemonde;7;2022;20 juillet 2022;76;Comédie;Jean-Michel Noirey;Blandine Mouret;Erika Regimbeau;3,3;Jean-Michel Noirey;France;0;Français;0;;
Mr. Malcolm's List;2;2023;13 février 2023;;Comédie;Emma Holly Jones;Freida Pinto;Zawe Ashton;2,7;Suzanne Allain;U.S.A.;0;Anglais;0;3;0
Murder at Yellowstone City;12;2022;29 décembre 2022;126;Western;Richard Gray;Isaiah Mustafa;Zach McGowan;2,3;Eric Belgau;U.S.A.;0;Anglais;0;0;0
Music Hole;7;2022;6 juillet 2022;82;Comédie;Gaëtan Liekens;Wim Willaert;Vanessa Guide;3,2;David Mutzenmacher;Belgique;0;Français;;1;0
My Best Friend's Exorcism;9;2022;30 septembre 2022;97;Comédie;Damon Thomas;Elsie Fisher;Amiah Miller;1,8;Jen Lamia;U.S.A.;0;Anglais;1;1;0
My Fake Boyfriend;6;2022;24 juin 2022;90;Comédie;Rose Troche;Keiyn Lonsdale;Dylan Sprouse;1,7;Luke Albright;Cada;0;Anglais;1;0;0
My Little Pony: A New Generation: Sing-Along;11;2022;14 novembre 2022;90;Animation;;;;;;U.S.A.;0;Anglais;;0;0
My me Is Vendetta;11;2022;30 novembre 2022;90;Action;Cosimo Gomez;Alessandro Gassman;Remo Girone;2,6;Cosimo Gomez;Italie;0;Italien;0;0;0
My Policeman;11;2022;4 novembre 2022;113;Drame;Michael Grandage;Emma Corrin;Harry Styles;3,9;Ron Nyswaner;Grande-Bretagne;0;Anglais;7;1;0
N'oublie pas les fleurs;3;2023;1 mars 2023;104;Drame;Genki Kawamura;Masaki Suda;Mieko Harada;3,2;Genki Kawamura;Japon;0;Japois;2;0;0
ai Sekar Returns;12;2022;9 décembre 2022;150;Bollywood;Suraj;Vadivelu 'Vaigai Puyal';Redin Kingsley;2,9;Suraj;Inde;0;Tamoul;0;0;
ane Varuvean;9;2022;29 septembre 2022;125;Action;K. Selvaraghavan;V Dhanush;Elli AvrRam;3,4;;Inde;0;Tamoul;0;0;
nny;12;2022;16 décembre 2022;98;Drame;Nikyatu Jusu;An Diop;Michelle Moghan;1,7;Nikyatu Jusu;U.S.A.;0;Anglais;;0;3
rvik;1;2023;23 janvier 2023;108;Drame;Erik Skjoldbjaerg;Kristine Hartgen;Henrik Mestad;3,1;Christopher Grøndahl;Norvège;0;Norvégien;11;;0
yola;3;2023;8 mars 2023;83;Animation;José Miguel Ribeiro;Ciomara Morais;Angelo Torres;3,9;José Eduardo Agualusa;Portugal;1;Portugais;3;0;0
Ne dis rien;9;2022;15 septembre 2022;97;Epouvante-horreur;Christian Tafdrup;Morten Burian;Sidsel Siem Koch;2,9;Christian Tafdrup;Danemark;0;Néerlandais, Danois, Anglais;0;;
Ne vse koshki sery;10;2022;24 octobre 2022;90;Romance;Vsevolod Shilovsky;Jaime Murray;Peter Bowles;;;Russie;0;Anglais, Russe;0;1;0
Neige;3;2023;6 mars 2023;90;Policier;Laurent Tuel;Frédéric Diefenthal;Murielle Huet des Auy;1,7;Charlotte Canot;France;0;Français;1;1;0
Neneh Superstar;1;2023;25 janvier 2023;98;Comédie;Ramzi Ben Sliman;Oumy Bruni Garrel;Maïwenn;2,4;Ramzi Ben Sliman;France;0;Français;0;;13
Nenjuku Needhi;5;2022;20 mai 2022;;Action;Arunraja Kamaraj;Udhayanidhi Stalin;;3,1;;Inde;0;Tamoul;;0;0
Nightride;7;2022;27 juillet 2022;98;Thriller;Stephen Fingleton;Moe Dunford;Joa Ribeiro;2,1;Ben Conway;Grande-Bretagne;0;Anglais;1;0;0
Nikamma;12;2022;3 décembre 2022;152;Action;Sabir Khan;Abhimanyu Dasani;Shilpa Shetty;;;Inde;0;Hindi;0;;0
Noël au paradis;12;2022;12 décembre 2022;88;Comédie;Philippe Martinez;Kelsey Grammer;Elizabeth Hurley;;Philippe Martinez;U.S.A.;0;Anglais;0;2;0
Noël avec les frères Koalas;11;2022;16 novembre 2022;46;Animation;Tobias Fouracre;;;2,6;;Grande-Bretagne;0;Anglais;;0;0
Noël grâce à elle;11;2022;30 novembre 2022;104;Comédie;Pedro Antonio;Gkay;Sérgio Malheiros;1,9;Caroli Garcia;Brésil;0;Portugais;;;
Noël tombe à pic;11;2022;10 novembre 2022;93;Comédie;Janeen Damian;Lindsay Lohan;Chord Overstreet;2,1;Jeff Bonnett;U.S.A.;0;Anglais;0;4;0
Noémie dit oui;4;2023;26 avril 2023;116;Drame;Geneviève Albert;Kelly Depeault;James-Edward Métayer;3,4;Geneviève Albert;;26;Français;;;
Nope;8;2022;10 août 2022;130;Epouvante-horreur;Jordan Peele;Daniel Kaluuya;Keke Palmer;3,1;Jordan Peele;U.S.A.;0;Anglais;1;3;0
Normale;4;2023;5 avril 2023;87;Comédie;Olivier Babinet;Benoît Poelvoorde;Justine Lacroix;3,3;Olivier Babinet;France;0;Français;1;4;
Northern Skies Over Empty Space;10;2022;28 octobre 2022;;Drame;Alejandra Marquez Abella;Gerardo Trejolu;Juan Daniel García Treviño;3;Alejandra Marquez Abella;Mexique;1;Espagnol;;0;
Nos cœurs meurtris;7;2022;29 juillet 2022;122;Drame;Elizabeth Allen Rosenbaum;Nicholas Galitzine;Sofia Carson;3,9;Liz W. Garcia;U.S.A.;0;Anglais;0;0;0
Nos frangins;12;2022;7 décembre 2022;92;Biopic;Rachid Bouchareb;Reda Kateb;Ly Khoudri;3;Kaouther Adimi;France;2;Français;5;2;3
Nos soleils;1;2023;18 janvier 2023;120;Drame;Carla Simón;Jordi Pujol Dolcet;An Otín;3,6;Carla Simón;Espagne;18;Espagnol;;;
Nostalgia;1;2023;4 janvier 2023;118;Drame;Mario Martone;Pierfrancesco Favino;Francesco Di Leva;3,8;Mario Martone;Italie;7;Italien;2;2;0
Notte fantasma;5;2023;11 mai 2023;83;Drame;Fulvio Risuleo;Edoardo Pesce;Yothin Clavenzani;3,3;Fulvio Risuleo;Italie;1;Italien;2;0;
Notre histoire (Jean, Stacy et les autres);11;2022;20 novembre 2022;123;Drame;Vincent Dietschy;Astasia Robin;Olivier Martiud;3;Vincent Dietschy;France;0;Français;1;;0
Notre Noël à la Ferme;11;2022;23 novembre 2022;102;Comédie;Debbie Isitt;Scott Garnham;Ashley Jensen;2;Debbie Isitt;Grande-Bretagne;0;Anglais;1;;2
Notre-Dame brûle;3;2022;16 mars 2022;110;Drame;Jean-Jacques Anud;Samuel Labarthe;Jean-Paul Bordes;3,8;Jean-Jacques Anud;France;;Français;5;0;0
Novembre;10;2022;5 octobre 2022;107;Policier;Cédric Jimenez;Jean Dujardin;Aïs Demoustier;4,1;Olivier Demangel;France;7;Français;6;15;5
Obidike;3;2023;27 mars 2023;110;Drame;Ubaka Joseph Ugochukwu;Emeka Ani;Chigozie Atuanya;;;Nigéria;0;Dialecte africain;;;
Office Invasion;8;2022;10 août 2022;;Science Fiction;Gareth Crocker;Rea Rangaka;Kiroshan idoo;1,4;Gareth Crocker;Afrique du Sud;0;Anglais;;;
Offseason;8;2022;9 août 2022;83;Drame;Mickey Keating;Jocelin Dohue;Joe Swanberg;1,9;Mickey Keating;U.S.A.;0;Anglais;0;0;8
Oke Oka Jeevitham;9;2022;9 septembre 2022;150;Drame;Shree Karthick;Amala Akkineni;Sharwand;;;Inde;0;Autre;;;
Old People;10;2022;7 octobre 2022;100;Drame;Andy Fetscher;Louie Betton;Paul Faßcht;2;Andy Fetscher;Allemagne;0;Allemand;5;;0
OMG! Oh My Girl;2;2023;24 février 2023;124;Comédie;Thitipong Kerdtongtawee;Wongravee teetorn;Plearnpichaya Komalarajun;3;;Thaïlande;0;Thaï;;;
On se conît… ou pas;1;2022;20 janvier 2022;99;Comédie;Wissam Smayra;dine Labaki;Mo Zaki;2,9;;Liban;0;Arabe;;5;0
